"Google Shopping","Google Shopping"
"Create a new data feed","Create a new data feed"
"Simplegoogleshopping filename","Simplegoogleshopping filename"
"File path","File path"
"File link","File link"
"Last update","Last update"
"Website url", "Website url"
"Title", "Title"
"Xml product pattern", "Xml product pattern"
"Filename", "Filename"
"Path", "Path"

"Description", "Description"
"Store View","Store View"
"Action","Action"
"Save & Generate","Save & Generate"
"Save & Continue","Save & Continue"
"Copy","Copy"
"Save","Save"
"Back","Back"
"Reset","Reset"

"Configuration", "Configuration"
"Categories", "Categories"
"Product type","Product type"
"Visibility","Visibility"
"Attributes","Attributes"
"Not Visible Individually", "Not Visible Individually"
"Catalog", "Catalog"
"Search", "Search"
"Catalog, Search", "Catalog, Search"

"Preview", "Preview"
"products", "products"
"Delete", "Delete"
"Generate","Generate"
"Edit","Edit"
"Filters", "Filters"

"Create a new data feed","Create a new data feed"
"Modify data feed : ","Modify data feed : "
"This is a required field.", "This is a required field."

"Item does not exist","Item does not exist"
"Generate a data feed can take a while. Are you sure you want to generate it now ?","Generate a data feed can take a while. Are you sure you want to generate it now ?"


"The data feed \"%s\" has been generated.","The data feed \"%s\" has been generated."
"The data feed has been saved.","The data feed has been saved."
"The data feed has been deleted.","The data feed has been deleted."
"Unable to find a data feed to delete.","Unable to find a data feed to delete."
"Unable to generate the data feed.","Unable to generate the data feed."
"Unable to find a data feed to generate.","Unable to find a data feed to generate."
"Please define correct path","Please define correct path"
"Please create the specified folder \"%s\" before saving the data feed.","Please create the specified folder \"%s\" before saving the data feed."
"Please make sure that \"%s\" is writable by web-server.","Please make sure that \"%s\" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"File \"%s\" cannot be saved. Please, make sure the directory \"%s\" is writeable by web server.","File \"%s\" cannot be saved. Please, make sure the directory \"%s\" is writeable by web server."



